date,price
2020-07-31,102.49
2020-08-03,102.2
2020-08-04,103.02
2020-08-05,102.32
2020-08-06,101.8
2020-08-07,102.01
2020-08-10,101.9
2020-08-11,102.25
2020-08-12,102.14
2020-08-13,100.34
2020-08-14,99.98
2020-08-17,100.59
2020-08-18,100.91
2020-08-19,99.94
2020-08-20,100.67
2020-08-21,100.45
2020-08-24,100.26
2020-08-25,99.78
2020-08-26,99.01
2020-08-27,98.11
2020-08-28,98.28
2020-08-31,97.79
2020-09-01,99.17
2020-09-02,98.7
2020-09-03,98.17
2020-09-04,98.46
2020-09-07,96.7
2020-09-08,96.36
2020-09-09,96.49
2020-09-10,95.95
2020-09-11,96.34
2020-09-14,96.01
2020-09-15,96.33
2020-09-16,97.52
2020-09-17,98.65
2020-09-18,99.6
2020-09-21,99.71
2020-09-22,100.41
2020-09-23,100.7
2020-09-24,101.09
2020-09-25,100.02
2020-09-28,101.55
2020-09-29,101.71
2020-09-30,102.1
2020-10-01,101.53
2020-10-02,101.72
2020-10-05,102.48
2020-10-06,102.2
2020-10-07,103.37
2020-10-08,104.0
2020-10-09,103.73
2020-10-12,103.36
2020-10-13,103.7
2020-10-14,104.09
2020-10-15,103.55
2020-10-16,102.9
2020-10-19,101.25
2020-10-20,102.22
2020-10-21,102.71
2020-10-22,102.67
2020-10-23,101.36
2020-10-26,101.59
2020-10-27,101.18
2020-10-28,101.08
2020-10-29,99.67
2020-10-30,100.38
2020-11-02,101.07
2020-11-03,102.42
2020-11-04,103.33
2020-11-05,103.52
2020-11-06,103.15
2020-11-09,102.75
2020-11-10,102.04
2020-11-11,102.09
2020-11-12,101.22
2020-11-13,101.22
2020-11-16,102.15
2020-11-17,103.46
2020-11-18,103.9
2020-11-19,104.05
2020-11-20,104.63
2020-11-23,104.36
2020-11-24,103.92
2020-11-25,103.44
2020-11-26,104.21
2020-11-27,104.38
2020-11-30,104.91
2020-12-01,104.9
2020-12-02,105.41
2020-12-03,105.55
2020-12-04,105.17
2020-12-07,107.1
2020-12-08,107.25
2020-12-09,108.9
2020-12-10,108.0
2020-12-11,107.06
2020-12-14,107.53
2020-12-15,108.32
2020-12-16,107.08
2020-12-17,108.26
2020-12-18,108.01
2020-12-21,108.98
2020-12-22,110.52
2020-12-23,111.35
2020-12-24,111.0
2020-12-25,110.39
2020-12-28,110.16
2020-12-29,109.45
2020-12-30,110.49
2020-12-31,111.02
2021-01-01,111.75
2021-01-04,111.91
2021-01-05,111.5
2021-01-06,110.85
2021-01-07,112.01
2021-01-08,110.94
2021-01-11,110.37
2021-01-12,110.35
2021-01-13,109.98
2021-01-14,110.56
2021-01-15,111.0
2021-01-18,111.73
2021-01-19,111.31
2021-01-20,110.76
2021-01-21,110.16
2021-01-22,111.21
2021-01-25,112.03
2021-01-26,113.11
2021-01-27,113.74
2021-01-28,113.32
2021-01-29,113.61
2021-02-01,113.87
2021-02-02,112.05
2021-02-03,111.13
2021-02-04,111.08
2021-02-05,111.39
2021-02-08,111.12
2021-02-09,110.58
2021-02-10,110.68
2021-02-11,110.82
2021-02-12,111.63
2021-02-15,113.73
2021-02-16,113.23
2021-02-17,112.04
2021-02-18,112.88
2021-02-19,111.65
2021-02-22,112.15
2021-02-23,113.67
2021-02-24,112.81
2021-02-25,113.18
2021-02-26,111.9
2021-03-01,112.38
2021-03-02,111.83
2021-03-03,114.47
2021-03-04,115.31
2021-03-05,115.86
2021-03-08,115.9
2021-03-09,115.48
2021-03-10,114.41
2021-03-11,113.9
2021-03-12,113.95
2021-03-15,112.83
2021-03-16,114.07
2021-03-17,114.62
2021-03-18,114.7
2021-03-19,116.03
2021-03-22,115.69
2021-03-23,116.55
2021-03-24,116.95
2021-03-25,117.35
2021-03-26,118.42
2021-03-29,117.62
2021-03-30,117.93
2021-03-31,117.62
2021-04-01,117.18
2021-04-02,117.47
2021-04-05,117.58
2021-04-06,116.63
2021-04-07,117.28
2021-04-08,117.54
2021-04-09,118.3
2021-04-12,116.77
2021-04-13,116.4
2021-04-14,117.58
2021-04-15,117.19
2021-04-16,118.25
2021-04-19,115.96
2021-04-20,114.81
2021-04-21,114.75
2021-04-22,114.22
2021-04-23,113.3
2021-04-26,112.28
2021-04-27,112.17
2021-04-28,110.95
2021-04-29,110.65
2021-04-30,111.82
2021-05-03,111.49
2021-05-04,112.05
2021-05-05,111.83
2021-05-06,111.97
2021-05-07,110.44
2021-05-10,109.59
2021-05-11,109.58
2021-05-12,109.72
2021-05-13,110.1
2021-05-14,110.81
2021-05-17,112.28
2021-05-18,112.34
2021-05-19,112.84
2021-05-20,113.27
2021-05-21,113.74
2021-05-24,113.38
2021-05-25,112.46
2021-05-26,113.29
2021-05-27,113.07
2021-05-28,112.36
2021-05-31,112.53
2021-06-01,112.5
2021-06-02,113.51
2021-06-03,114.71
2021-06-04,116.44
2021-06-07,117.63
2021-06-08,117.15
2021-06-09,118.41
2021-06-10,119.18
2021-06-11,117.65
2021-06-14,118.33
2021-06-15,119.34
2021-06-16,119.16
2021-06-17,117.78
2021-06-18,117.97
2021-06-21,117.87
2021-06-22,116.48
2021-06-23,116.32
2021-06-24,116.66
2021-06-25,118.31
2021-06-28,117.75
2021-06-29,116.85
2021-06-30,116.29
2021-07-01,116.31
2021-07-02,116.41
2021-07-05,116.4
2021-07-06,116.15
2021-07-07,115.74
2021-07-08,114.15
2021-07-09,114.63
2021-07-12,115.71
2021-07-13,114.11
2021-07-14,112.64
2021-07-15,110.91
2021-07-16,112.17
2021-07-19,113.77
2021-07-20,112.77
2021-07-21,114.21
2021-07-22,114.05
2021-07-23,112.16
2021-07-26,111.95
2021-07-27,112.63
2021-07-28,115.16
2021-07-29,115.56
2021-07-30,113.61
2021-08-02,112.05
2021-08-03,111.93
2021-08-04,109.31
2021-08-05,109.78
2021-08-06,109.12
2021-08-09,109.65
2021-08-10,111.05
2021-08-11,111.15
2021-08-12,111.82
2021-08-13,112.66
2021-08-16,114.23
2021-08-17,115.11
2021-08-18,115.58
2021-08-19,115.21
2021-08-20,114.97
2021-08-23,116.59
2021-08-24,114.88
2021-08-25,117.34
2021-08-26,116.19
2021-08-27,115.16
2021-08-30,115.9
2021-08-31,115.77
2021-09-01,115.09
2021-09-02,115.56
2021-09-03,114.79
2021-09-06,114.17
2021-09-07,114.14
2021-09-08,113.13
2021-09-09,113.72
2021-09-10,113.71
2021-09-13,113.82
2021-09-14,114.66
2021-09-15,116.05
2021-09-16,117.01
2021-09-17,117.65
2021-09-20,116.38
2021-09-21,117.25
2021-09-22,116.85
2021-09-23,115.99
2021-09-24,117.21
2021-09-27,118.0
2021-09-28,118.82
2021-09-29,118.54
2021-09-30,117.85
2021-10-01,117.41
2021-10-04,118.5
2021-10-05,118.18
2021-10-06,118.42
2021-10-07,120.0
2021-10-08,119.17
2021-10-11,118.53
2021-10-12,116.8
2021-10-13,117.85
2021-10-14,118.98
2021-10-15,119.37
2021-10-18,121.3
2021-10-19,121.03
2021-10-20,119.63
2021-10-21,119.71
2021-10-22,120.25
2021-10-25,118.55
2021-10-26,118.95
2021-10-27,117.86
2021-10-28,118.12
2021-10-29,118.73
2021-11-01,118.78
2021-11-02,117.42
2021-11-03,115.39
2021-11-04,116.93
2021-11-05,116.56
2021-11-08,115.75
2021-11-09,116.07
2021-11-10,115.97
2021-11-11,116.83
2021-11-12,116.88
2021-11-15,118.22
2021-11-16,117.1
2021-11-17,116.56
2021-11-18,114.58
2021-11-19,114.11
2021-11-22,115.44
2021-11-23,115.54
2021-11-24,115.49
2021-11-25,115.59
2021-11-26,115.83
2021-11-29,117.44
2021-11-30,117.84
2021-12-01,117.64
2021-12-02,116.34
2021-12-03,115.58
2021-12-06,113.13
2021-12-07,112.89
2021-12-08,113.01
2021-12-09,112.93
2021-12-10,111.49
2021-12-13,110.72
2021-12-14,110.61
2021-12-15,112.37
2021-12-16,112.55
2021-12-17,112.68
2021-12-20,112.75
2021-12-21,111.73
2021-12-22,113.68
2021-12-23,113.14
2021-12-24,113.13
2021-12-27,114.98
2021-12-28,114.43
2021-12-29,113.47
2021-12-30,112.54
2021-12-31,113.9
2022-01-03,113.27
2022-01-04,111.11
2022-01-05,110.89
2022-01-06,110.83
2022-01-07,111.07
2022-01-10,110.98
2022-01-11,111.41
2022-01-12,111.57
2022-01-13,111.15
2022-01-14,110.71
2022-01-17,109.79
2022-01-18,112.14
2022-01-19,113.08
2022-01-20,113.12
2022-01-21,112.68
2022-01-24,112.0
2022-01-25,110.85
2022-01-26,109.86
2022-01-27,109.13
2022-01-28,109.15
2022-01-31,109.13
2022-02-01,109.28
2022-02-02,110.48
2022-02-03,109.82
2022-02-04,109.74
2022-02-07,110.11
2022-02-08,110.53
2022-02-09,109.39
2022-02-10,109.07
2022-02-11,109.97
2022-02-14,111.28
2022-02-15,110.87
2022-02-16,111.46
2022-02-17,110.93
2022-02-18,110.0
2022-02-21,110.34
2022-02-22,108.73
2022-02-23,110.3
2022-02-24,112.31
2022-02-25,113.04
2022-02-28,112.46
2022-03-01,113.51
2022-03-02,113.69
2022-03-03,114.6
2022-03-04,115.13
2022-03-07,116.7
2022-03-08,116.88
2022-03-09,117.93
2022-03-10,118.72
2022-03-11,119.03
2022-03-14,120.3
2022-03-15,121.09
2022-03-16,122.05
2022-03-17,121.9
2022-03-18,122.66
2022-03-21,122.17
2022-03-22,122.32
2022-03-23,122.72
2022-03-24,125.15
2022-03-25,124.0
2022-03-28,124.47
2022-03-29,125.27
2022-03-30,125.15
2022-03-31,126.43
2022-04-01,128.07
2022-04-04,127.98
2022-04-05,128.2
2022-04-06,127.7
2022-04-07,128.39
2022-04-08,129.51
2022-04-11,129.92
2022-04-12,128.61
2022-04-13,128.11
2022-04-14,126.17
2022-04-15,127.38
2022-04-18,128.65
2022-04-19,129.1
2022-04-20,131.09
2022-04-21,130.63
2022-04-22,131.55
2022-04-25,132.76
2022-04-26,132.07
2022-04-27,134.49
2022-04-28,136.34
2022-04-29,136.83
2022-05-02,136.44
2022-05-03,134.58
2022-05-04,135.55
2022-05-05,137.27
2022-05-06,138.07
2022-05-09,139.55
2022-05-10,141.77
2022-05-11,140.83
2022-05-12,139.87
2022-05-13,139.93
2022-05-16,139.37
2022-05-17,140.13
2022-05-18,141.26
2022-05-19,141.11
2022-05-20,141.36
2022-05-23,142.11
2022-05-24,143.89
2022-05-25,146.2
2022-05-26,146.52
2022-05-27,143.75
2022-05-30,142.25
2022-05-31,141.75
2022-06-01,141.41
2022-06-02,141.42
2022-06-03,141.84
2022-06-06,142.4
2022-06-07,141.0
2022-06-08,141.13
2022-06-09,140.13
2022-06-10,140.26
2022-06-13,138.96
2022-06-14,137.27
2022-06-15,137.24
2022-06-16,136.06
2022-06-17,136.66
2022-06-20,138.46
2022-06-21,140.5
2022-06-22,138.68
2022-06-23,137.12
2022-06-24,137.41
2022-06-27,138.06
2022-06-28,138.44
2022-06-29,137.58
2022-06-30,138.37
2022-07-01,137.48
2022-07-04,138.25
2022-07-05,137.89
2022-07-06,139.25
2022-07-07,140.01
2022-07-08,138.27
2022-07-11,140.42
2022-07-12,141.82
2022-07-13,139.89
2022-07-14,139.82
2022-07-15,140.16
2022-07-18,140.41
2022-07-19,140.28
2022-07-20,141.56
2022-07-21,142.06
2022-07-22,143.41
2022-07-25,142.75
2022-07-26,144.76
2022-07-27,143.7
2022-07-28,141.84
2022-07-29,141.34
2022-08-01,142.3
2022-08-02,140.64
2022-08-03,140.84
2022-08-04,139.2
2022-08-05,139.99
2022-08-08,140.32
2022-08-09,139.82
2022-08-10,137.86
2022-08-11,138.1
2022-08-12,137.79
2022-08-15,137.56
2022-08-16,137.08
2022-08-17,137.32
2022-08-18,137.74
2022-08-19,139.83
2022-08-22,139.04
2022-08-23,140.37
2022-08-24,139.87
2022-08-25,140.93
2022-08-26,141.69
2022-08-29,141.13
2022-08-30,142.98
2022-08-31,143.3
2022-09-01,143.08
2022-09-02,141.51
2022-09-05,141.17
2022-09-06,143.93
2022-09-07,144.14
2022-09-08,145.43
2022-09-09,145.81
2022-09-12,146.09
2022-09-13,147.98
2022-09-14,148.39
2022-09-15,149.68
2022-09-16,151.54
2022-09-19,152.17
2022-09-20,153.7
2022-09-21,153.78
2022-09-22,153.38
2022-09-23,153.84
2022-09-26,154.42
2022-09-27,154.78
2022-09-28,154.35
2022-09-29,153.65
2022-09-30,153.74
2022-10-03,152.23
2022-10-04,152.44
2022-10-05,151.85
2022-10-06,152.55
2022-10-07,154.0
2022-10-10,155.95
2022-10-11,156.04
2022-10-12,156.78
2022-10-13,155.51
2022-10-14,156.57
2022-10-17,156.75
2022-10-18,156.92
2022-10-19,156.58
2022-10-20,156.58
2022-10-21,158.26
2022-10-24,158.17
2022-10-25,156.32
2022-10-26,156.38
2022-10-27,154.43
2022-10-28,151.61
2022-10-31,152.05
2022-11-01,151.06
2022-11-02,151.45
2022-11-03,148.62
2022-11-04,149.44
2022-11-07,148.88
2022-11-08,148.1
2022-11-09,148.36
2022-11-10,148.94
2022-11-11,147.86
2022-11-14,147.28
2022-11-15,145.7
2022-11-16,146.2
2022-11-17,145.15
2022-11-18,144.76
2022-11-21,144.8
2022-11-22,144.59
2022-11-23,144.65
2022-11-24,145.93
2022-11-25,145.54
2022-11-28,144.09
2022-11-29,144.14
2022-11-30,141.28
2022-12-01,142.16
2022-12-02,143.69
2022-12-05,143.84
2022-12-06,144.04
2022-12-07,143.55
2022-12-08,144.53
2022-12-09,144.1
2022-12-12,143.8
2022-12-13,144.44
2022-12-14,145.36
2022-12-15,145.41
2022-12-16,148.04
2022-12-19,147.73
2022-12-20,147.14
2022-12-21,147.82
2022-12-22,148.76
2022-12-23,147.89
2022-12-26,147.11
2022-12-27,145.94
2022-12-28,143.75
2022-12-29,144.81
2022-12-30,143.91
2023-01-02,143.74
2023-01-03,144.59
2023-01-04,143.46
2023-01-05,142.41
2023-01-06,141.25
2023-01-09,140.52
2023-01-10,140.29
2023-01-11,142.38
2023-01-12,141.84
2023-01-13,140.89
2023-01-16,141.97
2023-01-17,141.87
2023-01-18,144.47
2023-01-19,144.62
2023-01-20,142.65
2023-01-23,142.0
2023-01-24,141.0
2023-01-25,140.83
2023-01-26,141.72
2023-01-27,142.73
2023-01-30,144.8
2023-01-31,147.1
2023-02-01,146.7
2023-02-02,146.3
2023-02-03,147.13
2023-02-06,147.36
2023-02-07,147.88
2023-02-08,148.2
2023-02-09,147.03
2023-02-10,147.13
2023-02-13,148.77
2023-02-14,147.43
2023-02-15,146.66
2023-02-16,147.15
2023-02-17,147.63
2023-02-20,148.19
2023-02-21,148.93
2023-02-22,150.68
2023-02-23,148.45
2023-02-24,149.0
2023-02-27,149.12
2023-02-28,149.42
2023-03-01,149.73
2023-03-02,148.02
2023-03-03,148.91
2023-03-06,148.47
2023-03-07,149.04
2023-03-08,147.9
2023-03-09,148.6
2023-03-10,146.31
2023-03-13,149.52
2023-03-14,148.35
2023-03-15,150.52
2023-03-16,149.87
2023-03-17,151.33
2023-03-20,151.13
2023-03-21,151.91
2023-03-22,151.17
2023-03-23,150.85
2023-03-24,149.72
2023-03-27,150.4
2023-03-28,151.04
2023-03-29,151.86
2023-03-30,151.51
2023-03-31,152.67
2023-04-03,151.3
2023-04-04,149.76
2023-04-05,148.72
2023-04-06,148.98
2023-04-07,148.6
2023-04-10,145.11
2023-04-11,146.26
2023-04-12,147.51
2023-04-13,148.22
2023-04-14,146.13
2023-04-17,146.75
2023-04-18,146.7
2023-04-19,145.45
2023-04-20,145.9
2023-04-21,147.06
2023-04-24,148.51
2023-04-25,150.53
2023-04-26,150.98
2023-04-27,152.24
2023-04-28,152.32
2023-05-01,151.6
2023-05-02,152.06
2023-05-03,151.61
2023-05-04,151.37
2023-05-05,151.48
2023-05-08,151.58
2023-05-09,150.04
2023-05-10,149.84
2023-05-11,149.39
2023-05-12,150.03
2023-05-15,149.97
2023-05-16,150.59
2023-05-17,150.1
2023-05-18,148.15
2023-05-19,148.39
2023-05-22,146.99
2023-05-23,149.0
2023-05-24,149.55
2023-05-25,152.35
2023-05-26,153.72
2023-05-29,154.07
2023-05-30,152.81
2023-05-31,151.11
2023-06-01,149.09
2023-06-02,149.53
2023-06-05,149.12
2023-06-06,150.65
2023-06-07,151.25
2023-06-08,150.57
2023-06-09,149.88
2023-06-12,151.72
2023-06-13,151.33
2023-06-14,148.79
2023-06-15,150.98
2023-06-16,148.63
2023-06-19,149.62
2023-06-20,150.63
2023-06-21,151.6
2023-06-22,150.98
2023-06-23,149.11
2023-06-26,149.77
2023-06-27,149.06
2023-06-28,150.79
2023-06-29,150.29
2023-06-30,150.58
2023-07-03,152.78
2023-07-04,150.47
2023-07-05,150.5
2023-07-06,150.85
2023-07-07,150.44
2023-07-10,149.62
2023-07-11,149.94
2023-07-12,149.72
2023-07-13,149.63
2023-07-14,151.76
2023-07-17,152.96
2023-07-18,153.34
2023-07-19,155.16
2023-07-20,155.82
2023-07-21,156.08
2023-07-24,155.41
2023-07-25,154.65
2023-07-26,153.64
2023-07-27,153.57
2023-07-28,154.21
2023-07-31,153.25
2023-08-01,153.94
2023-08-02,155.69
2023-08-03,155.93
2023-08-04,156.18
2023-08-07,159.23
2023-08-08,158.93
2023-08-09,156.04
2023-08-10,154.77
2023-08-11,154.92
2023-08-14,154.27
2023-08-15,153.63
2023-08-16,153.94
2023-08-17,154.24
2023-08-18,153.99
2023-08-21,154.71
2023-08-22,154.7
2023-08-23,154.7
2023-08-24,156.18
2023-08-25,154.89
2023-08-28,154.43
2023-08-29,154.58
2023-08-30,155.29
2023-08-31,157.98
2023-09-01,155.44
2023-09-04,155.44
2023-09-05,155.51
2023-09-06,154.44
2023-09-07,154.93
2023-09-08,153.13
2023-09-11,152.67
2023-09-12,151.84
2023-09-13,152.34
2023-09-14,151.42
2023-09-15,150.47
2023-09-18,154.86
2023-09-19,154.78
2023-09-20,156.24
2023-09-21,156.36
2023-09-22,156.48
2023-09-25,156.23
2023-09-26,156.79
2023-09-27,156.02
2023-09-28,157.56
2023-09-29,159.68
2023-10-02,161.24
2023-10-03,160.74
2023-10-04,160.15
2023-10-05,159.21
2023-10-06,158.37
2023-10-09,157.98
2023-10-10,157.16
2023-10-11,157.64
2023-10-12,159.66
2023-10-13,159.77
2023-10-16,158.93
2023-10-17,159.69
2023-10-18,160.1
2023-10-19,160.55
2023-10-20,161.8
2023-10-23,163.37
2023-10-24,164.54
2023-10-25,165.45
2023-10-26,165.04
2023-10-27,167.77
2023-10-30,169.06
2023-10-31,168.23
2023-11-01,166.64
2023-11-02,162.9
2023-11-03,164.18
2023-11-06,163.81
2023-11-07,164.29
2023-11-08,164.28
2023-11-09,164.18
2023-11-10,164.1
2023-11-13,164.66
2023-11-14,165.74
2023-11-15,163.62
2023-11-16,162.81
2023-11-17,163.29
2023-11-20,163.47
2023-11-21,160.84
2023-11-22,160.31
2023-11-23,161.46
2023-11-24,162.56
2023-11-27,163.54
2023-11-28,162.31
2023-11-29,161.65
2023-11-30,165.63
2023-12-01,165.11
2023-12-04,165.28
2023-12-05,166.98
2023-12-06,168.01
2023-12-07,166.52
2023-12-08,165.35
2023-12-11,165.25
2023-12-12,164.76
2023-12-13,168.02
2023-12-14,165.29
2023-12-15,165.24
2023-12-18,167.42
2023-12-19,165.72
2023-12-20,164.02
2023-12-21,164.89
2023-12-22,163.41
2023-12-25,163.02
2023-12-26,159.23
2023-12-27,156.47
2023-12-28,156.63
2023-12-29,155.86
2024-01-01,157.46
2024-01-02,154.95
2024-01-03,152.56
2024-01-04,152.97
2024-01-05,151.58
2024-01-08,152.18
2024-01-09,151.38
2024-01-10,153.09
2024-01-11,152.58
2024-01-12,152.6
2024-01-15,152.49
2024-01-16,151.83
2024-01-17,152.76
2024-01-18,152.81
2024-01-19,152.37
2024-01-22,152.45
2024-01-23,153.95
2024-01-24,154.59
2024-01-25,154.74
2024-01-26,151.79
2024-01-29,152.82
2024-01-30,152.01
2024-01-31,153.44
2024-02-01,152.7
2024-02-02,153.8
2024-02-05,153.13
2024-02-06,152.56
2024-02-07,153.99
2024-02-08,155.41
2024-02-09,154.53
2024-02-12,154.78
2024-02-13,152.98
2024-02-14,152.85
2024-02-15,152.59
2024-02-16,151.77
2024-02-19,151.2
2024-02-20,148.98
2024-02-21,149.72
2024-02-22,148.51
2024-02-23,149.23
2024-02-26,149.91
2024-02-27,150.92
2024-02-28,151.75
2024-02-29,151.58
2024-03-01,151.07
2024-03-04,151.91
2024-03-05,153.97
2024-03-06,153.93
2024-03-07,154.1
2024-03-08,155.67
2024-03-11,155.76
2024-03-12,155.88
2024-03-13,156.16
2024-03-14,155.0
2024-03-15,154.93
2024-03-18,155.47
2024-03-19,157.72
2024-03-20,156.85
2024-03-21,156.23
2024-03-22,155.74
2024-03-25,156.31
2024-03-26,155.84
2024-03-27,154.16
2024-03-28,154.06
2024-03-29,153.3
2024-04-01,151.14
2024-04-02,151.48
2024-04-03,151.76
2024-04-04,151.17
2024-04-05,150.73
2024-04-08,149.8
2024-04-09,150.99
2024-04-10,150.2
2024-04-11,152.15
2024-04-12,152.01
2024-04-15,150.31
2024-04-16,150.35
2024-04-17,150.42
2024-04-18,151.14
2024-04-19,152.52
2024-04-22,153.72
2024-04-23,152.29
2024-04-24,152.64
2024-04-25,152.42
2024-04-26,152.33
2024-04-29,150.49
2024-04-30,150.68
2024-05-01,151.17
2024-05-02,151.94
2024-05-03,152.8
2024-05-06,154.3
2024-05-07,152.13
2024-05-08,152.84
2024-05-09,153.73
2024-05-10,155.9
2024-05-13,154.58
2024-05-14,155.48
2024-05-15,153.01
2024-05-16,152.75
2024-05-17,152.26
2024-05-20,153.68
2024-05-21,154.19
2024-05-22,153.04
2024-05-23,153.98
2024-05-24,155.19
2024-05-27,154.64
2024-05-28,151.84
2024-05-29,152.55
2024-05-30,154.34
2024-05-31,154.85
2024-06-03,155.67
2024-06-04,154.67
2024-06-05,156.32
2024-06-06,156.93
2024-06-07,159.56
2024-06-10,161.1
2024-06-11,162.18
2024-06-12,161.62
2024-06-13,160.77
2024-06-14,161.76
2024-06-17,160.81
2024-06-18,158.97
2024-06-19,160.17
2024-06-20,161.7
2024-06-21,162.92
2024-06-24,162.45
2024-06-25,164.28
2024-06-26,162.85
2024-06-27,162.13
2024-06-28,160.96
2024-07-01,160.79
2024-07-02,162.74
2024-07-03,162.35
2024-07-04,164.79
2024-07-05,164.08
2024-07-08,165.87
2024-07-09,164.56
2024-07-10,164.63
2024-07-11,163.66
2024-07-12,163.96
2024-07-15,165.78
2024-07-16,163.47
2024-07-17,165.61
2024-07-18,166.01
2024-07-19,167.4
2024-07-22,167.79
2024-07-23,167.25
2024-07-24,165.6
2024-07-25,165.06
2024-07-26,166.18
2024-07-29,165.32
2024-07-30,161.91
2024-07-31,163.38
2024-08-01,163.32
2024-08-02,163.8
2024-08-05,162.98
2024-08-06,162.7
2024-08-07,163.66
2024-08-08,162.46
2024-08-09,163.45
2024-08-12,165.6
2024-08-13,167.3
2024-08-14,165.59
2024-08-15,165.88
2024-08-16,167.82
2024-08-19,166.6
2024-08-20,163.97
2024-08-21,165.59
2024-08-22,165.8
2024-08-23,168.08
2024-08-26,166.89
2024-08-27,168.07
2024-08-28,169.06
2024-08-29,168.01
2024-08-30,166.48
2024-09-02,168.75
2024-09-03,168.9
2024-09-04,168.77
2024-09-05,170.44
2024-09-06,169.66
2024-09-09,170.01
2024-09-10,171.19
2024-09-11,171.18
2024-09-12,171.22
2024-09-13,170.4
2024-09-16,171.92
2024-09-17,172.94
2024-09-18,172.37
2024-09-19,170.88
2024-09-20,171.59
2024-09-23,173.08
2024-09-24,173.02
2024-09-25,172.79
2024-09-26,172.5
2024-09-27,170.58
2024-09-30,171.85
2024-10-01,173.54
2024-10-02,172.54
2024-10-03,171.31
2024-10-04,171.37
2024-10-07,170.5
2024-10-08,172.24
2024-10-09,173.68
2024-10-10,172.95
2024-10-11,171.73
2024-10-14,172.29
2024-10-15,172.1
2024-10-16,172.16
2024-10-17,172.6
2024-10-18,172.74
2024-10-21,171.41
2024-10-22,170.76
2024-10-23,168.26
2024-10-24,167.59
2024-10-25,167.82
2024-10-28,168.69
2024-10-29,167.28
2024-10-30,167.74
2024-10-31,170.45
2024-11-01,168.94
2024-11-04,167.65
2024-11-05,164.57
2024-11-06,163.92
2024-11-07,163.03
2024-11-08,163.75
2024-11-11,163.41
2024-11-12,164.16
2024-11-13,164.88
2024-11-14,164.0
2024-11-15,165.9
